gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2440893591	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364111_Bacteria::Actinobacteria:Acidimicrobiia:Acidimicrobiales:Acidimicrobiaceae:Ilumatobacter	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	Ilumatobacter			GENUS	Ilumatobacter Matsumoto et al., 2009	Ilumatobacter					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													5905178		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.399Z		
2440893580	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364105_Bacteria::Proteobacteria:Betaproteobacteria:Nitrosomonadales:Methylophilaceae	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae				FAMILY	Methylophilaceae	Methylophilaceae					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													8929		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.211Z		
2440893579	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364111_Bacteria::Proteobacteria:Oligoflexia:Oligoflexales	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales					ORDER	Oligoflexales	Oligoflexales					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													10815316		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.472Z		
2440893575	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364109_Bacteria::Proteobacteria:Betaproteobacteria:Rhodocyclales:Azonexaceae	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Azonexaceae				FAMILY	Azonexaceae	Azonexaceae					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													11266888		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:04.872Z		
2440893573	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364108_Bacteria::Proteobacteria:Alphaproteobacteria:Rhizobiales:Xanthobacteraceae:Labrys	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Labraceae	Labrys			GENUS	Labrys Vasilyeva & Semenov, 1985	Labrys					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													3220956		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.420Z		
2440893569	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364106_Bacteria::Proteobacteria:Alphaproteobacteria:Sphingomonadales:Erythrobacteraceae	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae				FAMILY	Erythrobacteraceae	Erythrobacteraceae					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													4901672		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.137Z		
2440893566	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364106_Bacteria::Proteobacteria:Deltaproteobacteria:Desulfobacterales:Desulfobulbaceae:Desulfocapsa	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae				FAMILY	Desulfobulbaceae	Desulfocapsa					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													8936		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.186Z		TAXON_MATCH_HIGHERRANK
2440893563	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364105_Bacteria::Bacteroidetes:Chitinophagia:Chitinophagales:Chitinophagaceae:Flavisolibacter	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter			GENUS	Flavisolibacter Yoon & Im, 2007	Flavisolibacter					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													4893097		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.083Z		
2440893560	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364108_Bacteria::Proteobacteria:Betaproteobacteria:Burkholderiales:Comamonadaceae:Macromonas	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Macromonas			GENUS	Macromonas Utermohl & Koppe, 1924	Macromonas					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													3220107		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.466Z		
2440893555	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364110_Bacteria::Proteobacteria:Betaproteobacteria:Nitrosomonadales:Methylophilaceae	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae				FAMILY	Methylophilaceae	Methylophilaceae					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													8929		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.044Z		
2440893552	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364107_Bacteria::Proteobacteria:Betaproteobacteria:Rhodocyclales:Rhodocyclaceae:Azovibrio	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azovibrio			GENUS	Azovibrio Reinhold-Hurek & Hurek, 2000	Azovibrio					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													3220309		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.363Z		
2440893551	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364107_Bacteria::Bacteroidetes:Bacteroidia:Marinilabiliales	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales					ORDER	Marinilabiliales	Marinilabiliales					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													11060629		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.448Z		
2440893543	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364106_Bacteria::Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Negativibacillus	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Negativibacillus			GENUS	Negativibacillus	Negativibacillus					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													10831963		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.217Z		
2440893529	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364105_Bacteria::Proteobacteria:Gammaproteobacteria:Pseudomonadales:Moraxellaceae	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae				FAMILY	Moraxellaceae	Moraxellaceae					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													9537		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.354Z		
2440893528	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364107_Bacteria::Proteobacteria:Betaproteobacteria:::Candidatus_Accumulibacter	Bacteria	Proteobacteria	Gammaproteobacteria						CLASS	Betaproteobacteria	Candidatus Accumulibacter					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													337		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.447Z		TAXON_MATCH_HIGHERRANK
2440893527	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364110_Bacteria::Ignavibacteriae:Ignavibacteria	Bacteria	Bacteroidota	Ignavibacteria						CLASS	Ignavibacteria	Ignavibacteria					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													7421138		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.460Z		
2440893521	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364106_Bacteria::Acidobacteria:Solibacteres:Solibacterales:Solibacteraceae:Candidatus_Solibacter	Bacteria	Acidobacteriota							PHYLUM	Acidobacteria	Candidatus Solibacter					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													25		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:04.944Z		TAXON_MATCH_HIGHERRANK
2440893520	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364106_Bacteria:::::::bacterium_enrichment_culture_clone_Anammox_55	Bacteria								KINGDOM	Bacteria	bacterium enrichment_culture_clone_Anammox_55					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													3		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.102Z		TAXON_MATCH_HIGHERRANK
2440893518	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364110_Bacteria::Chloroflexi:Caldilineae:Caldilineales:Caldilineaceae	Bacteria	Chloroflexota	Anaerolineae	Caldilineales	Caldilineaceae				FAMILY	Caldilineaceae	Caldilineaceae					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													4698		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.340Z		
2440893509	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364110_Bacteria::Acidobacteria:Solibacteres:Solibacterales:Bryobacteraceae:Bryobacter	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter			GENUS	Bryobacter Kulichevskaya et al., 2010	Bryobacter					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													8225089		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.463Z		
2440893508	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364105_Bacteria::Proteobacteria:Betaproteobacteria:Rhodocyclales:Zoogloeaceae:Zoogloea	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Zoogloea			GENUS	Zoogloea Itzigsohn, 1868	Zoogloea					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													3220272		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.157Z		
2440893504	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364109_Bacteria::Candidatus_Kaiserbacteria	Bacteria								KINGDOM	Bacteria	Candidatus Kaiserbacteria					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													3		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.045Z		TAXON_MATCH_HIGHERRANK
2440893499	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364108_Bacteria::Proteobacteria:Alphaproteobacteria:Rhizobiales:Rhizobiaceae:Rhizobium	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium			GENUS	Rhizobium Frank, 1889	Rhizobium					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													3220733		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.298Z		
2440893495	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364105_Bacteria::Proteobacteria:Alphaproteobacteria:Caulobacterales:Caulobacteraceae:Phenylobacterium	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium			GENUS	Phenylobacterium Lingens et al., 1985	Phenylobacterium					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													9571613		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.316Z		
2440893494	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364106_Bacteria::Proteobacteria:Alphaproteobacteria:Caulobacterales:Caulobacteraceae:Phenylobacterium	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium			GENUS	Phenylobacterium Lingens et al., 1985	Phenylobacterium					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													9571613		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:04.950Z		
2440893484	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364107_Bacteria::Acidobacteria:Solibacteres:Solibacterales:Solibacteraceae:Candidatus_Solibacter	Bacteria	Acidobacteriota							PHYLUM	Acidobacteria	Candidatus Solibacter					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													25		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.214Z		TAXON_MATCH_HIGHERRANK
2440893477	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364108_Bacteria::Proteobacteria:Gammaproteobacteria:Xanthomonadales:Xanthomonadaceae:Stenotrophomonas	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas			GENUS	Stenotrophomonas Palleroni & Bradbury, 1993	Stenotrophomonas					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													3222368		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:04.852Z		
2440893475	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364105_Bacteria::Proteobacteria:Deltaproteobacteria:Desulfuromonadales:Geobacteraceae:Geothermobacter	Bacteria	Desulfobacterota	Desulfuromonadia	Desulfuromonadales	Geothermobacteraceae	Geothermobacter			GENUS	Geothermobacter Kashefi et al., 2005	Geothermobacter					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													3220511		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.410Z		
